evaporation_from_vegetation_transpiration_sum,soil_temperature_level_1,surface_net_solar_radiation_sum,temperature_2m,total_precipitation_sum,ndvi
0,298.5762208,1.64E+07,296.8711917,1.38E-04,0.289627248
0,298.7058646,1.70E+07,296.7590523,6.12E-06,0.289531108
0,298.28567,1.82E+07,296.4118214,8.52E-07,0.289434967
0,298.5161947,1.82E+07,296.800347,1.71E-06,0.289338827
0,299.5755666,1.74E+07,298.2015521,9.39E-05,0.289270213
0,299.7011058,1.66E+07,297.4182714,0.019267814,0.289201599
0,296.0398871,1.27E+07,293.3593292,0.013213256,0.289132985
0,295.746966,1.68E+07,293.4197769,0.001611502,0.289064371
0,295.6407865,1.85E+07,294.0693487,8.52E-07,0.288995757
0,295.5499147,1.91E+07,294.195989,8.58E-07,0.288927142
0,296.7441508,1.79E+07,295.5208397,2.13E-04,0.288858528
1.86E-09,297.3296528,1.54E+07,296.815759,6.93E-05,0.288789914
0,298.8815028,1.83E+07,298.0467478,2.22E-04,0.2887213
0,299.381986,1.78E+07,298.5514348,2.73E-04,0.288652686
0,298.9538886,2.00E+07,298.1202946,0,0.288584072
0,297.7204501,2.03E+07,295.7339535,2.57E-06,0.288515458
0,298.1283544,2.01E+07,296.0842463,8.52E-07,0.288446844
0,299.5788918,1.97E+07,298.3146915,1.72E-06,0.288948068
0,301.2165178,1.91E+07,299.909558,8.71E-07,0.289449292
0,302.6427422,1.94E+07,301.4486815,1.12E-04,0.289950516
0,301.3590577,1.35E+07,299.3876731,1.81E-04,0.290451741
0,301.5062771,1.98E+07,298.7993819,1.58E-07,0.290952965
0,301.5538222,2.00E+07,298.7067604,0,0.291454189
0,302.0143248,1.76E+07,299.2885901,1.52E-04,0.291955413
0,303.0511901,1.98E+07,300.9309457,5.40E-08,0.292456637
0,303.8025525,1.96E+07,301.1426067,8.52E-07,0.292957862
0,304.3770733,1.96E+07,301.8245239,8.66E-07,0.293459086
0,305.3508682,1.89E+07,303.1699886,8.52E-07,0.29396031
0,305.7749818,1.90E+07,303.0857995,1.72E-06,0.294461534
0,305.3644759,1.97E+07,303.0804577,4.35E-07,0.294962759
9.31E-10,303.9523239,1.59E+07,301.6162802,2.28E-04,0.295463983
1.86E-09,302.7185535,1.40E+07,299.9368744,0.001260438,0.295965207
0,303.9210885,2.07E+07,301.0912768,1.74E-06,0.296466431
0,304.3594824,2.09E+07,302.5269299,8.58E-07,0.296967655
0,305.6377958,2.02E+07,304.3230572,1.71E-06,0.297234166
0,305.8018176,1.99E+07,303.9077625,1.66E-05,0.297500677
0,304.6517855,2.14E+07,302.2214336,4.36E-07,0.297767188
0,304.8052572,2.15E+07,302.7931995,0,0.298033698
0,305.6274128,2.13E+07,303.4837093,3.45E-06,0.298300209
0,306.5533148,2.04E+07,304.4424578,1.72E-06,0.29856672
0,307.5137596,2.07E+07,305.1876971,0,0.29883323
0,307.7761618,1.79E+07,305.4739513,1.22E-04,0.299099741
0,307.4449368,1.87E+07,304.6073996,5.24E-04,0.299366252
0,307.7850113,1.76E+07,305.1333993,0,0.299632762
0,307.8511219,2.04E+07,305.8731219,8.52E-07,0.299899273
0,307.4134064,2.20E+07,305.5306346,8.58E-07,0.300165784
0,307.5026735,1.98E+07,305.5597515,3.53E-05,0.300432295
9.31E-10,306.9611244,2.08E+07,304.1779842,4.45E-06,0.299016929
0,306.1103764,2.23E+07,303.261062,0,0.297601563
0,306.2081318,2.24E+07,303.6801491,0,0.296186197
9.31E-10,307.2468802,2.16E+07,304.7991015,3.43E-06,0.294770831
0,307.6601963,2.13E+07,305.1383972,1.75E-06,0.293355465
9.31E-10,307.5852108,2.19E+07,304.6966947,0,0.291940099
0,307.1816381,2.15E+07,304.4534264,0,0.290524733
0,307.2123915,2.19E+07,304.360178,8.52E-07,0.289109367
0,307.5901114,2.23E+07,304.8934326,8.52E-07,0.287694001
0,308.2280827,2.16E+07,305.4104621,1.43E-05,0.286278635
0,307.0995166,1.93E+07,303.5581099,0.002350656,0.287492296
0,307.0551783,2.07E+07,303.8751971,0.00163008,0.288705957
0,306.266367,2.09E+07,302.4668929,2.90E-04,0.289919618
0,306.7803332,1.98E+07,302.7067909,7.59E-04,0.291133279
0,306.9689617,1.93E+07,302.7886448,8.52E-04,0.292346939
0,306.6674868,1.91E+07,303.3073451,2.73E-04,0.2935606
9.31E-10,306.8510157,1.89E+07,303.8665746,0.0011984,0.294774261
9.31E-10,307.6745434,1.94E+07,304.546121,7.54E-04,0.295987922
0,307.3342177,1.94E+07,303.1713975,9.13E-04,0.297201583
0,308.1168811,1.92E+07,304.2333082,4.50E-04,0.298415244
0,308.813804,2.08E+07,305.3870633,4.08E-05,0.299628904
0,309.6407693,2.12E+07,306.3332837,2.83E-05,0.300842565
